,silhouette_scores,davies_bouldin_scores,calinski_harabasz_scores
2,0.029696489,5.741452506471093,365.86656283363294
3,0.028206656,6.181514041776718,345.10954490852276
4,0.036133867,5.1475546128303025,336.93526432447067
5,0.037479043,5.011081781945235,319.2700153893344
6,0.04335774,4.592913569578524,300.24059579101464
7,0.04456138,4.50704043148641,289.5448519639776
8,0.044872418,4.487165313742759,270.4073855688676
9,0.049565013,4.057997282762255,257.6169478977544
10,0.056425553,3.9532259895123594,274.4487078867455
11,0.059666533,3.8244635364095156,273.7024855103836
12,0.061858155,3.7413811342803895,267.8990799082113
13,0.06167319,3.7324294968030687,250.87679690354847
14,0.062300682,3.576413959780553,228.1821094651485
15,0.064055085,3.6570681184967544,238.64248265463613
16,0.06638237,3.545634904974101,236.6449940667504
17,0.074828625,3.2687594710309016,236.77145935012172
18,0.072821066,3.34219044092002,234.12806253357394
19,0.07682125,3.265968844410533,227.68647021446603
20,0.07908929,3.1752718167375935,231.2791708154171
