,silhouette_scores,davies_bouldin_scores,calinski_harabasz_scores
2,0.1302305,5.198493092096753,509.5911919563635
3,0.094095014,4.783725504073392,485.51664096561103
4,0.08238788,4.3409697550707005,444.3920598946464
5,0.07865282,3.8125577884015582,421.55656451432515
6,0.08100062,3.716953683679917,408.2351989460198
7,0.07562582,3.505663718049122,399.801140441211
8,0.07742599,3.554963372560988,360.89912075941453
9,0.087241866,3.0417959327746207,361.35392562002284
10,0.067934774,3.2311863614656504,356.77258058147777
11,0.06315423,3.1552001413281716,337.6688705953984
12,0.05266416,3.042696319932316,334.0713506392364
13,0.07459976,2.8153449335676717,341.9031483747793
14,0.049382225,2.9787025272756744,327.4785094180657
15,0.056481265,2.9326125100802005,324.3729164114089
16,0.0512515,2.92795926846662,321.001300891512
17,0.04836104,2.9102296751381243,312.8121976466482
18,0.08192505,2.556300875729212,302.0575462331468
19,0.06443666,2.769287156227102,302.66057593584316
20,0.057889827,2.7476615631210337,296.6511095646794
