,Silhouette Score,davies_bouldin_scores,calinski_harabasz_scores
2,0.08875852,4.892879455856267,504.7440011355381
3,0.09519907,4.780327693019973,485.5174638297581
4,0.029207528,4.306381728155998,372.51343460110263
5,0.086550646,3.8094624428196,371.8312333092949
6,0.058134507,3.548624820529504,348.15809128453003
7,0.09391329,3.737158246809508,356.95856660535435
8,0.068924874,3.3596543613474066,343.38483116911493
9,0.07983896,3.2733579690707746,351.30661890663254
10,0.064529955,3.030932555939679,351.49313468586405
11,0.04875666,3.366482448635888,320.5199574189091
12,0.06668823,3.2935736267924884,319.79582565639373
13,0.07272063,2.9454860956017126,320.1793389613648
14,0.064685166,2.932619516522238,323.6487703151333
15,0.04894313,3.1136388078208728,308.07743133989084
16,0.05704005,2.993353993250746,290.93559968683803
17,0.050445292,2.8889334613876536,306.6455444160667
18,0.0699599,2.8019325506723805,287.2519764421378
19,0.04988133,2.8285767415170047,270.5184081825371
20,0.057777874,2.8880728718642863,277.35223930480805
