,silhouette_scores,davies_bouldin_scores,calinski_harabasz_scores
2,0.1483964,3.074882410245678,453.0716318966706
3,0.130251,3.606993128427195,258.63301330289926
4,0.1235878,3.5514442953195764,266.63839238254496
5,0.10756605,3.723083978064028,380.7602255741199
6,0.06458078,3.6985356346867277,354.2673053298726
7,0.03947698,3.6195384575496132,328.4840387949284
8,0.0035182347,3.1965494715109077,246.7960483121683
9,0.11421441,2.6907433725477614,273.1219699763657
10,0.07646391,3.5070945321768585,320.72795814103773
11,0.06132356,2.928808775299177,282.1159437162056
12,0.020316865,3.1415404561081353,242.4404288785168
13,0.04506748,3.023439642328905,272.2511602138025
14,0.06293712,2.843672315033245,268.23069341658925
15,0.0326338,3.2672216492397212,293.9719787137624
16,0.042387486,2.7731468639765806,237.74770743647113
17,0.047403153,2.7766831353368415,245.3417180053554
18,0.031807758,2.7782793972760937,235.50343642118955
19,0.026481869,2.9797485666070656,220.0474911199177
20,0.039196428,2.710192337264045,195.6712073128896
