,Silhouette Score,davies_bouldin_scores,calinski_harabasz_scores
2,0.10268998576070255,3.4696274273479717,1140.2883080885206
3,0.05830750781679838,3.278811915557382,1011.0112821631177
4,0.08914437328220724,2.571696838866933,1015.9836620886174
5,0.07258166222050956,2.791839289986048,915.0899548549979
6,0.06405211588105351,2.9584594643409967,811.4910390792165
7,0.06160723758359873,2.6536713964349334,735.7111879713617
8,0.05726079090377853,2.916292224164203,681.6970509597344
9,0.060824060136070654,2.7985456914960674,636.3325989236221
10,0.06398394332271358,2.7698539834915783,600.5548400786817
11,0.04941182918540248,2.9091206897428994,566.4610969947239
12,0.0549779936456136,2.9780873621704234,531.3903459933966
13,0.04473210200591587,2.8444663259718697,506.0312634172505
14,0.05070670297094257,2.7848504034996893,488.4307080002331
15,0.047566158928706026,2.775783630245677,461.13421099176486
16,0.04212686781010109,2.829520081539821,442.93191289129464
17,0.04926579427351264,2.7747294466136885,435.954993796356
18,0.034472006635905134,2.9828624808477655,408.0592218004784
19,0.0408257732635567,2.678683028948948,383.39906229875106
20,0.03961738237180317,2.7067035739802034,376.3839121279879
