,Silhouette Score,davies_bouldin_scores,calinski_harabasz_scores
2,0.99854606,0.2824948114767199,98424.37855013048
3,0.96139103,1.5789314344071312,18.843372470677405
4,0.95376194,2.2236064204552655,33342.08497670078
5,0.9585693,1.8533176193213134,105676.15237155663
6,0.9028944,2.1550723650420633,85112.85326742202
7,0.89169836,2.3903803479098658,71366.12895071083
8,0.77248585,2.238703548541153,61751.67571383857
9,0.8918965,2.0367014174614297,61182.04843017404
10,0.7740748,2.0285345109025887,49380.905409809
11,0.7707262,2.2526592254830295,68078.52311326652
12,0.6893455,2.1985631547142144,40418.20994578817
13,0.5333342,2.1561212570535058,37307.80965476405
14,0.58051616,2.292967858979043,34158.391484464824
15,0.67041355,2.0541521157242686,32387.802337553403
16,0.6783303,2.3245771222310325,29986.094030873708
17,0.72227776,2.0141730524859525,35661.656071279205
18,0.49552605,1.956592522713857,42513.16800759465
19,0.6176105,1.92908956895186,32711.3829575228
20,0.49542385,2.0545604391547543,23777.857669717396
