,silhouette_scores,davies_bouldin_scores,calinski_harabasz_scores
2,0.99854606,0.2824948114767199,98424.37855013048
3,0.9977619,0.3500746879733418,200523.0539153319
4,0.9973085,0.4595159485960304,189445.62403349672
5,0.99683267,0.5599473097070173,146481.0915337718
6,0.9969964,0.3376883219027944,173961.68750133205
7,0.9970229,0.2717709411889572,181546.77615153216
8,0.9965971,0.4004348039571214,146227.73054402758
9,0.9966398,0.2012407994298744,144221.07226120454
10,0.97774553,0.3934558342352666,134172.27236920173
11,0.9845501,0.15741434482324818,125717.15616813708
12,0.9761947,0.36044953274691577,119920.35676047775
13,0.97657806,0.1376468823321011,113309.24023553397
14,0.97622555,0.2825967687225787,109615.04897386681
15,0.9747636,0.24365873929081835,105130.82092303385
16,0.9750666,0.2589599192018396,107184.86698650528
17,0.9568732,0.3297720327662937,102685.76335542294
18,0.95657533,0.27987103931301377,96869.20635775433
19,0.93094945,0.46314491501270016,93848.52258779365
20,0.93011034,0.3555745440900769,88235.10574302246
