,silhouette_scores,davies_bouldin_scores,calinski_harabasz_scores
2,0.99854606,0.2824948114767199,98424.37855013048
3,0.9977619,0.3500746879733418,200523.0539153319
4,0.9975094,0.454357293241354,199240.36630789094
5,0.997042,0.380142258010543,192792.37157619488
6,0.99703217,0.3079258239236817,187995.65528708557
7,0.9970229,0.2717709411889574,181546.77615153216
8,0.97411793,0.653093615423278,172002.96440855757
9,0.9726195,0.4864017863938176,157276.45994808423
10,0.9728775,0.48501800036288323,147729.37857798126
11,0.9702548,0.5528358664075402,137894.01148334806
12,0.9712209,0.508649936227246,131155.3875266448
13,0.97143906,0.5235863034325304,128202.42239655851
14,0.97050893,0.5133958298071208,124830.38102477843
15,0.96990824,0.4578608625968986,117328.3492670449
16,0.9705858,0.5327556139002527,116052.10315729048
17,0.9580561,0.7943061705005066,112463.54860155139
18,0.9608772,0.7503221127891546,109722.23742494803
19,0.9587323,0.657743198568173,107927.9658444607
20,0.95868754,0.6135966486697527,106723.1940204128
