,silhouette_scores,davies_bouldin_scores,calinski_harabasz_scores
2,0.08879159,4.885806558276352,504.7411278339821
3,0.15222423,2.333168482741873,354.1498107832547
4,0.13619034,3.3983959025717825,366.4296219033432
5,0.101979874,3.190497153543265,365.0554610747406
6,0.0844483,3.446295477936351,341.837289649503
7,0.06583969,2.8146003624267415,239.0542507015125
8,0.08065242,3.183898065402407,337.158505537044
9,0.08675571,2.5590226680928754,211.0409449410344
10,0.09585618,2.5224159052810236,281.5823321445234
11,0.08049528,2.904662535733321,314.1828137274629
12,0.08928668,2.495545816408176,229.10372031223795
13,0.08489652,2.6843676444449427,228.88052754179932
14,0.08553224,2.3721401083827836,205.7759155280697
15,0.07387032,2.4984674409400545,237.3873632125887
16,0.063235186,2.5278833265302505,245.6456669438797
17,0.079711005,2.438002106197189,224.2947112235762
18,0.069170855,2.4064340590397983,230.0553549663594
19,0.07216643,2.235337956826448,201.01644383171148
20,0.06799841,2.434541105818869,229.26502048302052
