,silhouette_scores,davies_bouldin_scores,calinski_harabasz_scores
2,0.99854606,0.2824948114767199,98424.37855013048
3,0.9977619,0.3500746879733418,200523.0539153319
4,0.9975094,0.454357293241354,199240.36630789094
5,0.997042,0.380142258010543,192792.37157619488
6,0.99703217,0.3079258239236817,187995.65528708557
7,0.9970229,0.2717709411889572,181546.77615153216
8,0.97267264,0.5952712456964666,172294.34696860396
9,0.9698107,0.7963190748364023,151866.34987222374
10,0.9727552,0.5358537522837143,145395.0311293434
11,0.9713713,0.4981215344117546,140466.81878051363
12,0.9688923,0.568620501952571,130942.70746119399
13,0.97231454,0.6296183450970092,125294.9645208109
14,0.9712908,0.529732453699777,121852.51339552562
15,0.9705453,0.4991567842709911,118996.74642304004
16,0.96096754,0.5642117665497153,115592.96077645343
17,0.95720124,0.6978339319856596,111979.65535347616
18,0.95508707,0.752801465617684,108636.46363209373
19,0.96132106,0.6222305255091577,109949.77274410414
20,0.96468323,0.4923117738647096,102962.17045441104
