,silhouette_scores,davies_bouldin_scores,calinski_harabasz_scores
2,0.99854606,0.2824948114767199,98424.37855013048
3,0.9977619,0.3500746879733418,200523.0539153319
4,0.99767566,0.3518284661406401,166492.8854193512
5,0.9792245,0.4026977985810459,126890.9506794823
6,0.9847472,0.3634501817877332,143963.1178512539
7,0.97971135,0.46212063894852967,122034.43187807436
8,0.9969697,0.18973033753691693,161683.0337656922
9,0.9487646,0.18223688421388806,141894.82263563207
10,0.97413224,0.17606034822302158,132678.55895127973
11,0.9845501,0.15741434482324926,125717.15616813708
12,0.97530496,0.15251786871378195,113700.5978275278
13,0.96543103,0.407830651567326,68327.39744663569
14,0.9790399,0.14464074338579083,101978.27752676213
15,0.9678241,0.66178614248528,89864.41730582518
16,0.9494038,0.2497932388933772,95406.15471669563
17,0.9306621,0.45039544659628017,69528.3083110287
18,0.96772254,0.9373405887393632,47855.31399501435
19,0.95041937,0.40554681638225454,61807.09085449746
20,0.9487897,0.5871553254455248,82474.96333925557
