,silhouette_scores,davies_bouldin_scores,calinski_harabasz_scores
2,0.99854606,0.2824948114767199,98424.37855013048
3,0.9977619,0.3500746879733418,200523.0539153319
4,0.9975094,0.454357293241354,199240.36630789094
5,0.99703145,0.3751727178505801,190988.72260292145
6,0.99703217,0.3079258239236817,187995.65528708557
7,0.9970229,0.27177094118895867,181546.77615153216
8,0.9799002,0.25307886860870477,166090.43029123778
9,0.9665521,0.7586855531751955,157897.04138934903
10,0.96768266,0.7599035241407279,146008.9318227577
11,0.9702548,0.5528358664075402,137894.01148334806
12,0.9712912,0.4871071472504909,133597.04611719272
13,0.9703012,0.49665023658427254,127071.90439781474
14,0.9609222,0.8254496882135047,124095.3746750169
15,0.9713038,0.5515012091308412,117990.37786700152
16,0.95802015,0.6594628456470553,115553.57001184492
17,0.9588993,0.7674832852204853,111798.81701630614
18,0.9697335,0.43013706584679995,110820.58127185468
19,0.93775827,0.6985616089850958,107086.77200706923
20,0.9602876,0.6275738069750687,107234.33124402579
